分录行号,日期,会计年度,期间,凭证字,凭证号,摘要,科目编码,科目全名,币别,原币金额,借方金额,贷方金额,制单,审核,过账,出纳,附件数,来源系统,业务类型,审核状态,作废状态
1,2024/1/8,"2,024",1,记,1,收到货款/上海巍立实业有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,000.00","¥1,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/上海巍立实业有限公司,1122,应收账款,人民币,"¥1,000.00",,"¥1,000.00",,,,,,,,,
1,2024/1/8,"2,024",1,记,2,收到货款/丰翼科技（深圳）有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥28,910.00","¥28,910.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/丰翼科技（深圳）有限公司,1122,应收账款,人民币,"¥28,910.00",,"¥28,910.00",,,,,,,,,
1,2024/1/8,"2,024",1,记,3,收到货款/悦驰专用车制造（唐山）有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥77,259.90","¥77,259.90",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/悦驰专用车制造（唐山）有限公司,1122,应收账款,人民币,"¥77,259.90",,"¥77,259.90",,,,,,,,,
1,2024/1/8,"2,024",1,记,4,收到货款/福建赛特冷链科技有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥58,694.00","¥58,694.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/福建赛特冷链科技有限公司,1122,应收账款,人民币,"¥58,694.00",,"¥58,694.00",,,,,,,,,
1,2024/1/8,"2,024",1,记,5,收到货款/清远市广硕鞋业有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,¥988.75,¥988.75,,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/清远市广硕鞋业有限公司,1122,应收账款,人民币,¥988.75,,¥988.75,,,,,,,,,
1,2024/1/9,"2,024",1,记,6,收到货款/河南冰盛制冷设备有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥96,427.52","¥96,427.52",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/河南冰盛制冷设备有限公司,1122,应收账款,人民币,"¥96,427.52",,"¥96,427.52",,,,,,,,,
1,2024/1/9,"2,024",1,记,7,收到货款/福建赛特冷链科技有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥58,694.00","¥58,694.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/福建赛特冷链科技有限公司,1122,应收账款,人民币,"¥58,694.00",,"¥58,694.00",,,,,,,,,
1,2024/1/9,"2,024",1,记,8,收到货款/深圳市上古光电有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥1,107.00","¥1,107.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/深圳市上古光电有限公司,1122,应收账款,人民币,"¥1,107.00",,"¥1,107.00",,,,,,,,,
1,2024/1/11,"2,024",1,记,9,收到货款/上海上化院天乐实业有限公司,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥39,000.00","¥39,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/上海上化院天乐实业有限公司,1122,应收账款,人民币,"¥39,000.00",,"¥39,000.00",,,,,,,,,
1,2024/1/11,"2,024",1,记,10,收到货款/宁波市阳光汽车配件有限公司,1121.01,应收票据_银行承兑汇票,人民币,"¥321,682.32","¥321,682.32",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/宁波市阳光汽车配件有限公司,1122,应收账款,人民币,"¥321,682.32",,"¥321,682.32",,,,,,,,,
1,2024/1/12,"2,024",1,记,11,付碳纤维布款/张家港保税区振晖,2202.03,应付账款_材料供应商,人民币,"¥331,205.00","¥331,205.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付碳纤维布款/张家港保税区振晖,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥331,205.00",,"¥331,205.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,12,付胶管款/深圳市鼎盛鑫/发票号54044810,2202.07,应付账款_低值易耗品供应商,人民币,"¥62,000.00","¥62,000.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付胶管款/深圳市鼎盛鑫/发票号54044810,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥62,000.00",,"¥62,000.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,13,付淋膜复合款/东莞和永/发票号11836628,2202.06,应付账款_外协供应商,人民币,"¥40,167.60","¥40,167.60",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付淋膜复合款/东莞和永/发票号11836628,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥40,167.60",,"¥40,167.60",,,,,,,,,
1,2024/1/12,"2,024",1,记,14,付淋膜复合款/东莞和永/发票号11818497,2202.06,应付账款_外协供应商,人民币,"¥61,293.20","¥61,293.20",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付淋膜复合款/东莞和永/发票号11818497,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥61,293.20",,"¥61,293.20",,,,,,,,,
1,2024/1/12,"2,024",1,记,15,付淋膜复合款/东莞和永/发票号11818497,2202.06,应付账款_外协供应商,人民币,"¥2,750.00","¥2,750.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付淋膜复合款/东莞和永/发票号11818497,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥2,750.00",,"¥2,750.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,16,付玻纤布款/德州联合拓普/发票号31495508-11,2202.03,应付账款_材料供应商,人民币,"¥337,942.00","¥337,942.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付玻纤布款/德州联合拓普/发票号31495508-11,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥337,942.00",,"¥337,942.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,17,付碳管款/广州熙川/发票号979707,2202.06,应付账款_外协供应商,人民币,"¥7,330.40","¥7,330.40",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付碳管款/广州熙川/发票号979707,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥7,330.40",,"¥7,330.40",,,,,,,,,
1,2024/1/12,"2,024",1,记,18,付包材款/广州旭茂/发票号74230219,2202.07,应付账款_低值易耗品供应商,人民币,"¥36,310.00","¥36,310.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付包材款/广州旭茂/发票号74230219,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥36,310.00",,"¥36,310.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,19,付木塞款/宁波卓明/发票号03851314,2202.07,应付账款_低值易耗品供应商,人民币,¥300.00,¥300.00,,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付木塞款/宁波卓明/发票号03851314,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,¥300.00,,¥300.00,,,,,,,,,
1,2024/1/12,"2,024",1,记,20,付包材款/发票号74219853,2202.07,应付账款_低值易耗品供应商,人民币,"¥87,715.00","¥87,715.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付包材款/发票号74219853,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥87,715.00",,"¥87,715.00",,,,,,,,,
1,2024/1/12,"2,024",1,记,21,付刹车皮带款/射阳华力/发票号569227,2202.04,应付账款_固定资产供应商,人民币,"¥7,500.00","¥7,500.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,付款单,已审核,未作废
2,,,,,,付刹车皮带款/射阳华力/发票号569227,1002.01.01,银行存款_中国农业银行清远石角支行_人民币44-685201040011484,人民币,"¥7,500.00",,"¥7,500.00",,,,,,,,,
