分录行号,日期,会计年度,期间,凭证字,凭证号,摘要,科目编码,科目全名,币别,原币金额,借方金额,贷方金额,制单,审核,过账,出纳,附件数,来源系统,业务类型,审核状态,作废状态
1,2024/1/8,"2,024",1,记,1,收到货款/江西丰羽顺途科技有限公司,1002.02.01,银行存款_工商银行_人民币3602028909200715415,人民币,"¥16,800.00","¥16,800.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/江西丰羽顺途科技有限公司,1122,应收账款,人民币,"¥16,800.00",,"¥16,800.00",,,,,,,,,
1,2024/1/11,"2,024",1,记,2,收到货款/深圳市大疆百旺科技有限公司,1002.02.01,银行存款_工商银行_人民币3602028909200715415,人民币,"¥650,157.25","¥650,157.25",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/深圳市大疆百旺科技有限公司,1122,应收账款,人民币,"¥650,157.25",,"¥650,157.25",,,,,,,,,
1,2024/1/11,"2,024",1,记,3,收到货款/深圳市大疆如影科技有限公司,1002.02.01,银行存款_工商银行_人民币3602028909200715415,人民币,"¥39,717.45","¥39,717.45",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/深圳市大疆如影科技有限公司,1122,应收账款,人民币,"¥39,717.45",,"¥39,717.45",,,,,,,,,
1,2024/1/11,"2,024",1,记,4,收到货款/美团科技有限公司,1002.03.01,银行存款_广发银行_人民币9550880227868500199,人民币,"¥2,900.00","¥2,900.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/美团科技有限公司,1122,应收账款,人民币,"¥2,900.00",,"¥2,900.00",,,,,,,,,
1,2024/1/11,"2,024",1,记,5,收到货款/美团科技有限公司,1002.03.01,银行存款_广发银行_人民币9550880227868500199,人民币,"¥7,500.00","¥7,500.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
2,,,,,,收到货款/美团科技有限公司,1122,应收账款,人民币,"¥7,500.00",,"¥7,500.00",,,,,,,,,
1,2024/1/11,"2,024",1,记,6,收到货款/天津金发新材料有限公司,1121.01,应收票据_银行承兑汇票,人民币,"¥539,275.00","¥539,275.00",,方晓淮,梁映婵,梁映婵,,0,出纳管理,收款单,已审核,未作废
